shiptype,variable,unique_values,total_values,percent_unique
ShipType.Cargo,draught,17053,22097,77.17
ShipType.Cargo,to_bow,2036,22097,9.21
ShipType.Cargo,to_stern,1934,22097,8.75
ShipType.Cargo,to_port,3115,22097,14.1
ShipType.Cargo,to_starboard,3118,22097,14.11
ShipType.Cargo,len,791,22097,3.58
ShipType.Cargo,wid,1182,22097,5.35
ShipType.Cargo,ldivw,3269,22097,14.79
ShipType.Cargo,ldivd,19731,22097,89.29
ShipType.Cargo,wdivd,18399,22097,83.26
ShipType.Cargo,area,3085,22097,13.96
ShipType.Cargo,grith,1694,22097,7.67
ShipType.Cargo,aml,19615,22097,88.77
ShipType.Cargo,amt,18187,22097,82.31
ShipType.Cargo,vs,20544,22097,92.97
ShipType.Cargo,aol,6401,22097,28.97
ShipType.Fishing,draught,441,5551,7.94
ShipType.Fishing,to_bow,481,5551,8.67
ShipType.Fishing,to_stern,498,5551,8.97
ShipType.Fishing,to_port,591,5551,10.65
ShipType.Fishing,to_starboard,583,5551,10.5
ShipType.Fishing,len,217,5551,3.91
ShipType.Fishing,wid,120,5551,2.16
ShipType.Fishing,ldivw,640,5551,11.53
ShipType.Fishing,ldivd,1766,5551,31.81
ShipType.Fishing,wdivd,894,5551,16.11
ShipType.Fishing,area,617,5551,11.12
ShipType.Fishing,grith,281,5551,5.06
ShipType.Fishing,aml,1672,5551,30.12
ShipType.Fishing,amt,879,5551,15.83
ShipType.Fishing,vs,2421,5551,43.61
ShipType.Fishing,aol,1431,5551,25.78
ShipType.Passenger,draught,422,2912,14.49
ShipType.Passenger,to_bow,398,2912,13.67
ShipType.Passenger,to_stern,548,2912,18.82
ShipType.Passenger,to_port,436,2912,14.97
ShipType.Passenger,to_starboard,435,2912,14.94
ShipType.Passenger,len,324,2912,11.13
ShipType.Passenger,wid,119,2912,4.09
ShipType.Passenger,ldivw,877,2912,30.12
ShipType.Passenger,ldivd,1440,2912,49.45
ShipType.Passenger,wdivd,880,2912,30.22
ShipType.Passenger,area,992,2912,34.07
ShipType.Passenger,grith,401,2912,13.77
ShipType.Passenger,aml,1502,2912,51.58
ShipType.Passenger,amt,911,2912,31.28
ShipType.Passenger,vs,2014,2912,69.16
ShipType.Passenger,aol,1373,2912,47.15
ShipType.Tanker,draught,6920,8986,77.01
ShipType.Tanker,to_bow,865,8986,9.63
ShipType.Tanker,to_stern,714,8986,7.95
ShipType.Tanker,to_port,1082,8986,12.04
ShipType.Tanker,to_starboard,1077,8986,11.99
ShipType.Tanker,len,434,8986,4.83
ShipType.Tanker,wid,454,8986,5.05
ShipType.Tanker,ldivw,1468,8986,16.34
ShipType.Tanker,ldivd,8067,8986,89.77
ShipType.Tanker,wdivd,7516,8986,83.64
ShipType.Tanker,area,1487,8986,16.55
ShipType.Tanker,grith,774,8986,8.61
ShipType.Tanker,aml,8043,8986,89.51
ShipType.Tanker,amt,7529,8986,83.79
ShipType.Tanker,vs,8344,8986,92.86
ShipType.Tanker,aol,2787,8986,31.01
ShipType.Tug,draught,743,5821,12.76
ShipType.Tug,to_bow,601,5821,10.32
ShipType.Tug,to_stern,586,5821,10.07
ShipType.Tug,to_port,693,5821,11.91
ShipType.Tug,to_starboard,691,5821,11.87
ShipType.Tug,len,292,5821,5.02
ShipType.Tug,wid,222,5821,3.81
ShipType.Tug,ldivw,741,5821,12.73
ShipType.Tug,ldivd,1960,5821,33.67
ShipType.Tug,wdivd,1256,5821,21.58
ShipType.Tug,area,721,5821,12.39
ShipType.Tug,grith,408,5821,7.01
ShipType.Tug,aml,1728,5821,29.69
ShipType.Tug,amt,1234,5821,21.2
ShipType.Tug,vs,2723,5821,46.78
ShipType.Tug,aol,1154,5821,19.82
