Método,Tipo de Barco,Tiempo (s)
TVAE,ShipType.Cargo,182.51031041145325
TVAE,ShipType.Tanker,54.56051540374756
TVAE,ShipType.Tug,36.18721842765808
TVAE,ShipType.Fishing,35.40880298614502
TVAE,ShipType.Passenger,18.527838945388794
GaussianCopula,ShipType.Cargo,3.7183380126953125
GaussianCopula,ShipType.Tanker,1.9258897304534912
GaussianCopula,ShipType.Tug,1.6057343482971191
GaussianCopula,ShipType.Fishing,1.5570180416107178
GaussianCopula,ShipType.Passenger,1.2121376991271973
CTGAN,ShipType.Cargo,290.1324653625488
CTGAN,ShipType.Tanker,87.16276288032532
CTGAN,ShipType.Tug,57.593693017959595
CTGAN,ShipType.Fishing,55.08942198753357
CTGAN,ShipType.Passenger,26.301101446151733
